Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
5,0.78,13.18,52.86,0.0,46.34,8.75,2.43,64.4,27.3
6,0.28,13.41,38.71,0.0,41.55,9.62,2.87,68.22,34.1
6,0.52,14.45,32.76,0.0,33.96,8.66,2.01,68.74,38.2
4,2.57,15.26,28.92,0.24,42.25,10.1,2.45,68.86,34.3
6,0.56,18.81,38.49,0.0,21.76,10.22,1.82,67.99,27.4
6,0.36,14.05,42.98,0.26,16.28,10.47,1.74,69.79,32.4
5,0.39,19.59,48.92,0.1,38.86,8.91,0.74,66.95,39.3
6,0.3,17.43,46.27,0.14,34.26,9.18,0.72,68.81,38.8
5,0.97,18.98,35.65,0.49,16.13,9.63,2.13,65.28,25.9
3,3.97,20.36,42.55,0.0,40.41,9.18,2.41,67.43,29.6
6,0.47,13.25,55.71,0.44,30.81,9.47,0.52,71.26,24.3
6,0.36,16.34,41.58,0.0,28.54,8.95,1.46,65.06,33.2
5,0.64,19.64,39.67,0.0,24.93,8.63,9.9,65.53,42.9
6,0.31,13.23,45.81,0.56,29.9,8.74,4.56,67.19,33.7
5,0.71,18.23,49.36,0.0,27.0,8.89,2.39,69.24,32.5
6,0.74,13.34,34.54,0.21,18.58,9.37,1.18,69.63,30.8
2,5.0,19.16,23.94,0.0,39.7,10.18,0.96,69.26,40.0
6,0.29,19.55,53.05,0.17,35.7,9.56,0.65,70.18,29.0
6,0.0,7.61,4.24,0.0,0.23,13.26,0.02,71.52,23.4
5,0.0,15.32,25.7,0.0,6.22,11.06,0.41,70.56,23.8
5,0.0,11.16,23.87,0.0,3.55,11.53,0.09,71.64,27.4
5,0.0,10.96,12.54,0.0,8.85,11.19,0.21,69.43,25.5
1,0.0,17.65,31.22,0.0,50.76,9.08,1.98,64.07,41.8
5,1.27,12.67,40.39,3.13,45.6,9.08,1.39,67.24,25.3
6,0.32,9.72,57.61,0.2,53.68,9.96,2.45,68.76,26.7
5,0.55,8.8,47.64,5.03,55.63,9.07,5.79,64.97,30.8
5,0.7,16.82,25.99,7.6,65.66,6.98,1.82,69.78,32.1
5,1.24,10.12,37.53,0.0,25.98,8.62,1.83,68.97,31.5
6,0.21,8.79,55.65,0.83,44.61,10.1,1.44,71.58,25.3
6,0.85,4.01,21.84,0.0,14.7,10.18,0.5,71.77,12.5
6,0.51,8.81,35.03,0.56,35.87,9.42,1.76,71.37,28.0
5,2.15,9.35,26.39,0.4,29.64,8.95,1.87,68.37,18.9
6,1.48,8.74,27.2,0.01,32.1,9.63,1.13,69.95,27.0
6,0.3,8.31,38.01,0.32,39.12,9.67,1.98,69.19,34.2
6,0.26,8.99,47.88,0.55,28.55,10.64,2.09,70.29,24.8
